epoch,time
1,6.4709
2,14.0804
3,19.9924
4,26.1545
5,32.1564
6,38.0799
7,44.2341
8,50.0417
9,55.9598
10,61.9647
11,67.742
12,73.7067
13,79.627
14,85.4551
15,91.5125
16,97.4091
17,103.3318
18,109.405
19,115.2476
20,121.2563
21,127.2901
22,133.1373
23,139.1796
24,145.0808
25,150.9152
26,157.0058
27,162.8
28,168.7089
29,174.7176
30,180.5292
31,186.5834
32,192.5402
33,198.3631
34,204.4511
35,210.3159
36,216.198
37,222.241
38,228.0498
39,234.0158
40,239.9848
41,245.776
42,251.8004
43,257.6932
44,263.5566
45,269.6356
46,275.4263
47,281.3503
48,287.3388
49,293.1485
50,299.1604
51,305.0779
52,310.8952
53,317.0134
54,322.8316
55,328.7176
56,334.7495
57,340.5479
58,346.5165
59,352.4686
60,358.3053
61,364.359
62,370.2109
63,376.0647
64,382.1245
65,387.9109
66,393.837
67,399.8292
68,405.6145
69,411.7554
70,417.6689
71,423.4635
72,429.5486
73,435.3781
74,441.2958
75,447.3244
76,453.1054
77,459.1015
78,465.0559
79,470.8629
80,476.9346
81,482.8105
82,488.6578
83,494.7156
84,500.5422
85,506.4712
86,512.4248
87,518.2233
88,524.2338
89,530.1089
90,535.9112
91,542.0139
92,547.8342
93,553.7548
94,559.7803
95,565.5805
96,571.5379
97,577.4687
98,583.2776
99,589.3753
100,595.2684
