epoch,time
1,5.9272
2,11.7439
3,18.8392
4,24.6892
5,30.8047
6,36.729
7,42.8094
8,48.6668
9,54.5881
10,60.5208
11,66.3273
12,72.4222
13,78.2061
14,84.2445
15,90.0502
16,96.0281
17,101.9446
18,107.867
19,113.917
20,119.7776
21,125.87
22,131.7448
23,137.8092
24,143.668
25,149.6183
26,155.5467
27,161.4202
28,167.4365
29,173.2583
30,179.3102
31,185.1473
32,191.1959
33,197.0648
34,202.9836
35,208.9934
36,214.8441
37,220.9223
38,226.7865
39,232.89
40,238.7257
41,244.6998
42,250.6226
43,256.4899
44,262.5228
45,268.3402
46,274.3837
47,280.2045
48,286.2446
49,292.1658
50,298.0971
51,304.0747
52,309.8983
53,315.9884
54,321.8233
55,327.8463
56,333.6943
57,339.6853
58,345.5859
59,351.5092
60,357.5052
61,363.3282
62,369.3682
63,375.2344
64,381.3027
65,387.1381
66,393.0875
67,399.0214
68,404.8811
69,410.9435
70,416.7788
71,422.8245
72,428.6529
73,434.7006
74,440.5686
75,446.5176
76,452.4711
77,458.3048
78,464.3743
79,470.2065
80,476.2758
81,482.0867
82,488.0807
83,493.9835
84,499.8927
85,505.8928
86,511.7325
87,517.7888
88,523.6882
89,529.7365
90,535.6162
91,541.5851
92,547.5168
93,553.3743
94,559.3714
95,565.2142
96,571.2497
97,577.0774
98,583.1256
99,588.9679
100,594.9154
