epoch,time
1,5.7219
2,11.5289
3,17.8595
4,23.8858
5,29.678
6,35.694
7,41.4308
8,47.291
9,53.1804
10,58.9217
11,64.8484
12,70.6503
13,76.4126
14,82.4173
15,88.1784
16,94.037
17,99.9503
18,105.7189
19,111.6617
20,117.5317
21,123.3016
22,129.3537
23,135.173
24,141.0633
25,147.0052
26,152.7881
27,158.6873
28,164.552
29,170.2883
30,176.2599
31,182.0238
32,187.8475
33,193.7957
34,199.5637
35,205.4627
36,211.3271
37,217.0787
38,223.0807
39,228.8622
40,234.6431
41,240.6136
42,246.3509
43,252.2511
44,258.1232
45,263.8696
46,269.8564
47,275.6624
48,281.4668
49,287.4474
50,293.1971
51,299.0621
52,304.9755
53,310.7345
54,316.7
55,322.5013
56,328.2638
57,334.2879
58,340.2538
59,346.1693
60,352.0752
61,357.8183
62,363.7681
63,369.5824
64,375.3446
65,381.335
66,387.0938
67,392.9765
68,398.8899
69,404.6424
70,410.5557
71,416.3784
72,422.1138
73,428.1342
74,433.8776
75,439.7071
76,445.637
77,451.3697
78,457.2824
79,463.1624
80,468.9107
81,474.8798
82,480.654
83,486.4748
84,492.4337
85,498.1704
86,504.0518
87,509.9103
88,515.6465
89,521.638
90,527.4332
91,533.2473
92,539.1903
93,544.9289
94,550.7925
95,556.7094
96,562.4434
97,568.4137
98,574.2047
99,579.9866
100,585.9499
