epoch,time
1,6.5842
2,13.1366
3,19.8809
4,26.3972
5,33.0819
6,39.663
7,46.2626
8,52.9122
9,59.4203
10,66.1243
11,72.645
12,79.2991
13,85.886
14,92.4694
15,99.1373
16,105.6376
17,112.3655
18,118.9131
19,125.5676
20,132.1907
21,138.7613
22,145.4795
23,152.0248
24,158.7659
25,165.3145
26,171.9945
27,178.6627
28,185.2582
29,192.0117
30,198.5495
31,205.3442
32,211.9458
33,218.5797
34,225.2585
35,231.806
36,238.5883
37,245.1408
38,251.8655
39,258.4747
40,265.1189
41,271.8251
42,278.3657
43,285.1592
44,291.6955
45,298.3923
46,305.0108
47,311.6149
48,318.302
49,324.8549
50,331.6201
51,338.1868
52,344.8682
53,351.5201
54,358.1608
55,364.9026
56,371.4398
57,378.2047
58,384.7484
59,391.448
60,398.0965
61,404.665
62,411.3799
63,417.9318
64,424.6914
65,431.2488
66,437.9151
67,444.589
68,451.1866
69,457.9193
70,464.4611
71,471.1944
72,477.7544
73,484.4272
74,491.0758
75,497.6568
76,504.4199
77,510.9723
78,517.7044
79,524.3039
80,530.9502
81,537.6385
82,544.1965
83,550.9597
84,557.5121
85,564.24
86,570.8602
87,577.5291
88,584.2066
89,590.7405
90,597.5373
91,604.0827
92,610.8207
93,617.4219
94,624.0401
95,630.747
96,637.2861
97,644.0795
98,650.6498
99,657.3536
100,663.9756
