epoch,time
1,6.1184
2,12.1173
3,18.3054
4,24.3129
5,30.4773
6,36.5096
7,42.5784
8,48.6521
9,54.676
10,60.8477
11,66.8153
12,72.9457
13,78.8912
14,85.0036
15,90.9606
16,97.0903
17,103.1055
18,109.171
19,115.25
20,121.2287
21,127.3838
22,133.3717
23,139.5376
24,145.5401
25,151.7175
26,157.7027
27,163.8259
28,169.8263
29,175.8542
30,181.9656
31,187.8897
32,194.0507
33,200.0196
34,206.1697
35,212.1806
36,218.3438
37,224.3317
38,230.4897
39,236.5278
40,242.5969
41,248.6939
42,254.6554
43,260.8062
44,266.7646
45,272.9003
46,278.8707
47,285.0881
48,291.1412
49,297.2285
50,303.3784
51,309.4838
52,315.6706
53,321.6435
54,327.8799
55,333.8603
56,340.0607
57,346.0188
58,352.1397
59,358.1124
60,364.1732
61,370.2627
62,376.2491
63,382.3731
64,388.3384
65,394.5284
66,400.5229
67,406.7327
68,412.7424
69,418.8885
70,424.9442
71,430.9888
72,437.062
73,443.0376
74,449.2044
75,455.154
76,461.3074
77,467.2494
78,473.4062
79,479.3845
80,485.5359
81,491.5898
82,497.6487
83,503.7664
84,509.7617
85,515.9713
86,521.9705
87,528.1151
88,534.0833
89,540.2745
90,546.2888
91,552.4116
92,558.4555
93,564.4832
94,570.6068
95,576.6027
96,582.822
97,588.8032
98,594.9922
99,601.0129
100,607.2317
