epoch,time
1,6.7896
2,13.764
3,20.4305
4,27.2485
5,33.8724
6,40.6374
7,47.2768
8,54.0457
9,60.6435
10,67.429
11,74.0673
12,80.8439
13,87.4874
14,94.3322
15,100.9581
16,107.8018
17,114.3945
18,121.1907
19,127.8147
20,134.6293
21,141.259
22,148.086
23,154.6827
24,161.5018
25,168.0633
26,174.8535
27,181.4649
28,188.2482
29,194.8381
30,201.693
31,208.2959
32,215.085
33,221.6888
34,228.4829
35,235.0455
36,241.9129
37,248.5141
38,255.3412
39,261.9934
40,268.813
41,275.4802
42,282.4388
43,289.0586
44,295.8751
45,302.4526
46,309.2654
47,315.9072
48,322.682
49,329.331
50,336.1427
51,342.8112
52,349.642
53,356.3075
54,363.0519
55,369.7329
56,376.456
57,383.1168
58,389.8321
59,396.5487
60,403.249
61,409.9395
62,416.6257
63,423.3151
64,429.9907
65,436.737
66,443.4029
67,450.1573
68,456.78
69,463.5517
70,470.1721
71,476.9234
72,483.5325
73,490.3247
74,496.9767
75,503.7649
76,510.3581
77,517.1464
78,523.7229
79,530.4992
80,537.1242
81,544.0409
82,550.7316
83,557.5582
84,564.1732
85,570.978
86,577.5999
87,584.4184
88,591.0196
89,597.8011
90,604.3733
91,611.1643
92,617.7862
93,624.536
94,631.1596
95,637.9748
96,644.5549
97,651.3296
98,657.9285
99,664.692
100,671.2671
