config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.003963884056807079,0.043712197218745925,0.0,0.0016052426592390889,0.027784299604759834,0.0
_2,0.013860661217890603,0.049422502358728006,0.0,0.004901429287675762,0.028845178302060077,0.0
_3,0.012854937696862016,0.044121408045155186,0.0,0.005223770127111775,0.027701474662395982,0.0
_4,0.016346569882183998,0.050852352410563614,0.0,0.003930796711533527,0.029354526816168135,0.0
_5,0.0037739011741051206,0.04408060327410136,0.0,0.0021571180574690534,0.02739568958846878,0.0
_12,0.011740533040662582,0.04930653360332505,0.0,0.003869927554130211,0.028671368864770903,0.0
_13,0.01163464764871671,0.04395423958680844,0.0,0.0044133686372968784,0.02718498315766327,0.0
_14,0.013769792693902523,0.04814327751035717,0.0,0.0035775305322995,0.029309346294932585,0.0
_15,0.003958317722027845,0.04406481330669984,0.0,0.001986863544934245,0.027975875001022634,0.0
_23,0.010104946792317042,0.04627921629060579,0.0,0.005335985223301485,0.02867917978940353,0.0
_24,0.013997314405019343,0.05098128208399509,0.0,0.0029147224893456983,0.02858243063413064,0.0
_25,0.011589474421985432,0.04776454896239707,0.0,0.016810135599857865,0.006347161943775535,0.0
_34,0.00957187980931402,0.04296130190571062,0.0,0.003470410317395523,0.02846934758639394,0.0
_35,0.011626675109788334,0.044035964722910124,0.0,0.00437037742209604,0.027592549675424564,0.0
_45,0.013993785407734941,0.04833774202921634,0.0,0.0034718829418995244,0.029129963047524333,0.0
_123,0.008847102821138628,0.04236925888892208,0.0,0.0038382641248040678,0.0272832062581402,0.0
_124,0.011121868285819467,0.04735722954211482,0.0,0.0027639550885274105,0.02899197129712991,0.0
_125,0.01766328981934994,0.044990405597223324,0.0,0.00302495109892066,0.02873932798699222,0.0
_134,0.008381802171387627,0.04316224628035579,0.0,0.002323111406793101,0.02846531490174308,0.0
_135,0.010160210265799793,0.04107472944269194,0.0,0.0035275966670784854,0.02770219085591131,0.0
_145,0.011153477630025223,0.04766632263353918,0.0,0.0030769325389318446,0.02867403178779805,0.0
_234,0.0024826312462113962,0.045496412380396825,0.0,0.0016375588813719107,0.02815050249402842,0.0
_235,0.009058695415241354,0.023456791989064196,0.0,0.0038982654541144216,0.02755119623662046,0.0
_245,0.011170520011925648,0.04740622444143598,0.0,0.016574243819517907,0.028424606839802607,0.0
_345,0.008544487600203297,0.04257909423135998,0.0,0.0032274772726410862,0.028811378215008978,0.0
_1234,0.002395309036272967,0.04507276776395394,0.0,0.0016211622874321657,0.028734684719184802,0.0
_1235,0.011388925128300628,0.0469220148119566,0.0,0.006843822241936157,0.028948093971437334,0.0
_1245,0.01564383094139806,0.052556054072006086,0.0,0.0030914253896308017,0.02869514091782194,0.0
_1345,0.017149231874881744,0.04402389606233813,0.0,0.002972898802089562,0.028624169154167916,0.0
_2345,0.0034145393822489728,0.04487931026230721,0.0,0.0015102950745609293,0.028326061903132214,0.0
