epoch,time
1,6.7456
2,13.3241
3,20.0223
4,26.7087
5,33.2928
6,40.0775
7,46.6233
8,53.3468
9,59.9328
10,66.5757
11,73.2697
12,79.8106
13,86.5797
14,93.1236
15,99.8479
16,106.4662
17,113.1188
18,119.8564
19,126.4101
20,133.1841
21,139.7282
22,146.4189
23,153.0618
24,159.648
25,166.3901
26,172.9395
27,179.6923
28,186.2571
29,192.9184
30,199.6077
31,206.187
32,212.9692
33,219.5288
34,226.2731
35,232.8843
36,239.548
37,246.2547
38,252.817
39,259.5821
40,266.1326
41,272.8554
42,279.4837
43,286.1223
44,292.8582
45,299.3981
46,306.1885
47,312.7302
48,319.4275
49,326.0777
50,332.6694
51,339.4473
52,346.0051
53,352.7422
54,359.3411
55,365.9811
56,372.6944
57,379.2339
58,386.0298
59,392.581
60,399.3152
61,405.9286
62,412.5431
63,419.2391
64,425.7774
65,432.5763
66,439.1504
67,445.8572
68,452.4912
69,459.1117
70,465.8358
71,472.3867
72,479.1443
73,485.7126
74,492.3738
75,499.0401
76,505.6051
77,512.3695
78,518.9159
79,525.6437
80,532.2478
81,538.9074
82,545.5924
83,552.1352
84,558.9101
85,565.4682
86,572.1732
87,578.7999
88,585.4099
89,592.121
90,598.672
91,605.4365
92,611.9696
93,618.6561
94,625.3057
95,631.915
96,638.6601
97,645.2012
98,651.9738
99,658.5852
100,665.2374
