epoch,time
1,6.5169
2,13.2775
3,19.8907
4,26.5494
5,33.2397
6,39.8032
7,46.611
8,53.1627
9,59.9433
10,66.5531
11,73.1975
12,79.8869
13,86.4317
14,93.2542
15,99.784
16,106.5258
17,113.1378
18,119.7696
19,126.5315
20,133.0879
21,139.9116
22,146.4582
23,153.2145
24,159.8721
25,166.4914
26,173.2464
27,179.7901
28,186.5664
29,193.115
30,199.7917
31,206.4571
32,213.0613
33,219.8161
34,226.3423
35,233.1143
36,239.6775
37,246.3528
38,253.0151
39,259.5748
40,266.3472
41,272.8809
42,279.6147
43,286.1918
44,292.8466
45,299.529
46,306.1129
47,312.8836
48,319.4317
49,326.1348
50,332.7612
51,339.3753
52,346.0815
53,352.6311
54,359.4015
55,365.9391
56,372.6497
57,379.2748
58,385.8714
59,392.5815
60,399.1339
61,405.9211
62,412.4751
63,419.1342
64,425.7972
65,432.3884
66,439.1402
67,445.6869
68,452.4491
69,459.0373
70,465.7215
71,472.3894
72,478.97
73,485.8038
74,492.3048
75,499.0249
76,505.6257
77,512.2782
78,518.9799
79,525.5076
80,532.3002
81,538.8377
82,545.537
83,552.1639
84,558.7969
85,565.5093
86,572.0398
87,578.812
88,585.3347
89,592.0386
90,598.6832
91,605.278
92,612.0068
93,618.5322
94,625.2959
95,631.8512
96,638.5009
97,645.157
98,651.7261
99,658.4985
100,665.097
