epoch,time
1,6.8519
2,13.7498
3,20.5665
4,27.4816
5,34.3221
6,41.2084
7,48.0892
8,54.9406
9,61.7773
10,68.6468
11,75.5134
12,82.3681
13,89.2622
14,96.1151
15,103.0055
16,109.828
17,116.7513
18,123.5901
19,130.5644
20,137.4066
21,144.3506
22,151.1405
23,158.089
24,164.9048
25,171.8296
26,178.6157
27,185.5622
28,192.337
29,199.2824
30,206.0808
31,212.9956
32,219.7681
33,226.7004
34,233.5038
35,240.4599
36,247.2248
37,254.3612
38,261.1832
39,268.1188
40,274.8872
41,281.8212
42,288.594
43,295.5445
44,302.3811
45,309.2954
46,316.0726
47,323.0358
48,329.8318
49,336.7658
50,343.5876
51,350.5356
52,357.3545
53,364.264
54,371.0915
55,378.0176
56,384.855
57,391.7437
58,398.6154
59,405.4882
60,412.3997
61,419.2564
62,426.1684
63,433.0262
64,439.9398
65,446.7802
66,453.6992
67,460.5213
68,467.5008
69,474.2902
70,481.2268
71,488.0088
72,494.9468
73,501.7414
74,508.6579
75,515.4292
76,522.3754
77,529.2051
78,536.3216
79,543.1247
80,550.0607
81,556.8425
82,563.7865
83,570.5637
84,577.5156
85,584.3121
86,591.2508
87,598.0478
88,604.9867
89,611.763
90,618.701
91,625.4916
92,632.4386
93,639.2683
94,646.2071
95,653.0168
96,659.9398
97,666.7909
98,673.7153
99,680.6036
100,687.4802
