epoch,time
1,5.87
2,11.9257
3,17.7213
4,23.682
5,29.6778
6,35.5438
7,41.5649
8,47.4436
9,53.2612
10,59.3352
11,65.1355
12,71.0728
13,77.0752
14,82.8715
15,88.8563
16,94.7903
17,100.5879
18,106.6626
19,112.5029
20,118.3695
21,124.4276
22,130.2333
23,136.1814
24,142.1689
25,147.9873
26,154.0443
27,159.942
28,165.7617
29,171.8405
30,177.6225
31,183.5395
32,189.554
33,195.3767
34,201.3946
35,207.3283
36,213.1506
37,219.2321
38,225.0481
39,230.9066
40,236.9321
41,242.7521
42,248.7194
43,254.7214
44,260.5332
45,266.546
46,272.4352
47,278.2268
48,284.3048
49,290.0839
50,295.985
51,301.9847
52,307.7865
53,313.7584
54,319.7002
55,325.5266
56,331.602
57,337.4925
58,343.3776
59,349.4141
60,355.2304
61,361.1774
62,367.1569
63,372.9425
64,378.9872
65,384.8957
66,390.7415
67,396.8576
68,402.6472
69,408.5267
70,414.5427
71,420.3331
72,426.2978
73,432.2594
74,438.07
75,444.1085
76,449.9755
77,455.8318
78,461.892
79,467.7301
80,473.6572
81,479.6231
82,485.4226
83,491.419
84,497.3337
85,503.1514
86,509.2666
87,515.0631
88,520.954
89,527.0222
90,532.8162
91,538.8055
92,544.7485
93,550.5492
94,556.578
95,562.4205
96,568.2837
97,574.3295
98,580.1257
99,586.0646
100,592.0356
